FIRST NAME,LAST NAME,SEX,DOJ,CURRENT DATE,DESIGNATION,AGE,UNIT,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP,SALARY,DAY,DAY NAME,MONTH,YEAR
JEFF,ABER,M,2012-11-03,2016-01-07,Senior Analyst,27.0,Finance,16,14,5.0,3,63154,3,Saturday,11,2012
NINA,AMBURGEY,F,2013-11-27,2016-01-07,Analyst,25.0,Finance,30,0,4.0,2,45992,27,Wednesday,11,2013
CLEMENT,AIONA,M,2014-03-25,2016-01-07,Analyst,22.0,IT,27,3,2.0,0,44887,25,Tuesday,3,2014
DONN,ALDREGE,M,2012-10-02,2016-01-07,Senior Analyst,26.0,Web,27,3,2.0,0,57046,2,Tuesday,10,2012
JAYSON,AINSLIE,M,2014-05-25,2016-01-07,Analyst,21.0,Web,23,7,4.0,0,40065,25,Sunday,5,2014
NOELLE,ARBOGUST,F,2013-03-27,2016-01-07,Analyst,23.0,Marketing,18,12,2.0,0,43676,27,Wednesday,3,2013
TERESA,ALROD,F,2014-07-20,2016-01-07,Analyst,21.0,Marketing,15,15,3.0,0,43428,20,Sunday,7,2014
ARCHIE,ADDESSO,M,2014-12-01,2016-01-07,Analyst,22.0,Marketing,19,11,2.0,0,43976,1,Monday,12,2014
BRENTON,ALDERETE,M,2013-10-11,2016-01-07,Senior Analyst,25.0,Finance,20,10,3.0,1,66820,11,Friday,10,2013
NORRIS,AHRENHOLTZ,M,2015-01-15,2016-01-07,Senior Analyst,27.0,Web,21,9,3.0,2,64798,15,Thursday,1,2015
FANNIE,AMMIRATI,F,2013-04-16,2016-01-07,Analyst,22.0,Marketing,19,11,5.0,0,40403,16,Tuesday,4,2013
DAISY,AMER,F,2012-05-05,2016-01-07,Associate,31.0,Marketing,18,12,2.0,5,99603,5,Saturday,5,2012
CATHY,ALVEAR,F,2011-08-26,2016-01-07,Associate,28.0,Web,25,5,2.0,2,96198,26,Friday,8,2011
RAPHAEL,AHLFIELD,M,2013-10-16,2016-01-07,Senior Analyst,27.0,IT,26,4,5.0,4,51930,16,Wednesday,10,2013
LAVERN,ALBY,M,2014-06-02,2016-01-07,Analyst,25.0,IT,18,12,5.0,2,48996,2,Monday,6,2014
DEMETRIA,ARECHIGA,F,2014-07-25,2016-01-07,Analyst,25.0,Web,19,11,3.0,3,46808,25,Friday,7,2014
ELVIRA,ANDAVERDE,F,2013-06-20,2016-01-07,Senior Manager,36.0,Finance,25,5,3.0,12,167610,20,Thursday,6,2013
SHERRIE,ANDREE,F,2014-09-13,2016-01-07,Analyst,25.0,Operations,27,3,2.0,3,44454,13,Saturday,9,2014
REID,ALAWDI,M,2014-08-22,2016-01-07,Associate,28.0,Finance,18,12,2.0,6,86231,22,Friday,8,2014
ALISON,AMMONDS,F,2014-08-19,2016-01-07,Analyst,24.0,IT,16,14,5.0,2,45252,19,Tuesday,8,2014
OMER,ALHAMBRA,M,2014-10-20,2016-01-07,Analyst,25.0,Finance,24,6,4.0,3,44011,20,Monday,10,2014
NORMA,ALTES,F,2014-07-17,2016-01-07,Analyst,22.0,Management,19,11,5.0,0,47519,17,Thursday,7,2014
DOMENIC,ALISON,M,2014-11-02,2016-01-07,Analyst,25.0,IT,18,12,4.0,3,46947,2,Sunday,11,2014
BRICE,ALESSANDRO,M,2014-07-23,2016-01-07,Analyst,25.0,Web,19,11,4.0,3,46556,23,Wednesday,7,2014
JULIE,ALRED,F,2013-01-29,2016-01-07,Analyst,21.0,Marketing,21,9,2.0,0,43363,29,Tuesday,1,2013
BERNADETTE,AMSTEIN,F,2013-06-08,2016-01-07,Analyst,25.0,Management,26,4,5.0,1,43391,8,Saturday,6,2013
LUELLA,ANKENMAN,F,2013-11-22,2016-01-07,Analyst,22.0,Management,22,8,4.0,0,41164,22,Friday,11,2013
HELGA,ARANAS,F,2014-04-21,2016-01-07,Analyst,24.0,Operations,15,15,4.0,1,48476,21,Monday,4,2014
FATIMA,ARELLANO,F,2012-01-06,2016-01-07,Senior Manager,35.0,Marketing,29,1,4.0,10,167525,6,Friday,1,2012
DANIELLE,ALVALLE,F,2012-11-14,2016-01-07,Senior Analyst,27.0,IT,22,8,4.0,0,65594,14,Wednesday,11,2012
PAULETTE,ANACKER,F,2013-05-16,2016-01-07,Analyst,23.0,Marketing,30,0,4.0,0,45579,16,Thursday,5,2013
JEROMY,ALLUM,M,2012-10-13,2016-01-07,Senior Analyst,26.0,Management,25,5,5.0,0,65880,13,Saturday,10,2012
RUSSEL,AGRO,M,2013-01-25,2016-01-07,Analyst,21.0,Marketing,29,1,4.0,0,48948,25,Friday,1,2013
SONIA,AMELIO,F,2013-01-30,2016-01-07,Analyst,23.0,Management,17,13,5.0,0,45525,30,Wednesday,1,2013
DALE,ANNESS,F,2014-04-07,2016-01-07,Analyst,22.0,Web,30,0,5.0,0,41819,7,Monday,4,2014
TOMMIE,AFFLICK,M,2013-08-04,2016-01-07,Analyst,24.0,Finance,22,8,4.0,1,49752,4,Sunday,8,2013
ROY,ABBOUD,M,2014-05-26,2016-01-07,Analyst,22.0,Marketing,19,11,5.0,0,48611,26,Monday,5,2014
COLBY,AITCHESON,M,2014-12-28,2016-01-07,Analyst,24.0,Operations,22,8,3.0,2,43295,28,Sunday,12,2014
MARISELA,ARGUBRIGHT,F,2013-11-11,2016-01-07,Analyst,22.0,Finance,23,7,2.0,0,40395,11,Monday,11,2013
EARNEST,ADELL,M,2012-04-05,2016-01-07,Senior Analyst,25.0,Operations,16,14,2.0,0,62960,5,Thursday,4,2012
TOBY,AFONSO,M,2013-02-27,2016-01-07,Analyst,23.0,Web,19,11,2.0,0,41912,27,Wednesday,2,2013
TRACEY,ALBELO,M,2013-07-08,2016-01-07,Analyst,22.0,IT,24,6,3.0,0,45013,8,Monday,7,2013
JEANNIE,ANDERST,F,2014-11-06,2016-01-07,Senior Analyst,25.0,Finance,27,3,2.0,0,56854,6,Thursday,11,2014
TRACIE,ANDROS,F,2013-09-20,2016-01-07,Analyst,23.0,Operations,17,13,2.0,0,47681,20,Friday,9,2013
CHARLES,AALDERINK,M,2014-08-22,2016-01-07,Analyst,25.0,Web,17,13,2.0,3,43638,22,Friday,8,2014
MARSHALL,ACKISON,M,2014-04-04,2016-01-07,Analyst,24.0,Management,17,13,4.0,1,45776,4,Friday,4,2014
RICO,ALDAZ,M,2013-06-02,2016-01-07,Analyst,21.0,Marketing,19,11,3.0,0,47216,2,Sunday,6,2013
ALEXANDER,ABITONG,M,2013-03-31,2016-01-07,Analyst,23.0,Finance,16,14,5.0,0,46824,31,Sunday,3,2013
SHAWNA,ANDON,F,2011-11-07,2016-01-07,Manager,32.0,Management,16,14,4.0,6,143778,7,Monday,11,2011
HARLEY,AGNEY,M,2012-01-02,2016-01-07,Senior Analyst,27.0,Web,19,11,4.0,0,60465,2,Monday,1,2012
ALISHA,ANDRAS,F,2014-01-19,2016-01-07,Analyst,21.0,Management,28,2,3.0,0,40816,19,Sunday,1,2014
BERNARD,ABKE,M,2014-11-17,2016-01-07,Analyst,23.0,Web,19,11,5.0,1,44427,17,Monday,11,2014
ANTIONE,ALLING,M,2013-10-13,2016-01-07,Analyst,23.0,Finance,21,9,3.0,0,48930,13,Sunday,10,2013
OSVALDO,ALCINI,M,2011-02-02,2016-01-07,Manager,34.0,Finance,28,2,4.0,7,148273,2,Wednesday,2,2011
HARLAN,AGUIRE,M,2014-10-09,2016-01-07,Analyst,23.0,Web,18,12,3.0,1,48583,9,Thursday,10,2014
TYRONE,ACERNO,M,2015-01-01,2016-01-07,Analyst,23.0,IT,20,10,5.0,1,40413,1,Thursday,1,2015
DARYL,ACKERSON,M,2014-08-05,2016-01-07,Analyst,24.0,Marketing,24,6,5.0,2,46891,5,Tuesday,8,2014
JESSE,ARDALY,F,2014-08-31,2016-01-07,Senior Analyst,28.0,IT,20,10,3.0,4,56166,31,Sunday,8,2014
DORRIS,ARLINGTON,F,2013-01-01,2016-01-07,Analyst,21.0,IT,18,12,3.0,0,43986,1,Tuesday,1,2013
HUGH,ACHE,M,2014-10-02,2016-01-07,Analyst,24.0,Operations,16,14,2.0,2,43621,2,Thursday,10,2014
DARREL,ADRID,M,2014-11-17,2016-01-07,Analyst,21.0,Management,28,2,2.0,0,40228,17,Monday,11,2014
EUGENIA,ANELLO,F,2013-06-18,2016-01-07,Analyst,21.0,Management,17,13,3.0,0,49384,18,Tuesday,6,2013
TREY,ALCORN,M,2014-02-02,2016-01-07,Analyst,24.0,Marketing,26,4,3.0,1,48969,2,Sunday,2,2014
ANDERSON,ALBA,M,2015-01-29,2016-01-07,Senior Analyst,27.0,Finance,15,15,2.0,4,58341,29,Thursday,1,2015
SUSANNA,APOSTAL,F,2013-12-21,2016-01-07,Analyst,22.0,Web,19,11,4.0,0,44448,21,Saturday,12,2013
KAITLIN,ARATA,F,2014-09-17,2016-01-07,Senior Analyst,26.0,Finance,28,2,5.0,4,51655,17,Wednesday,9,2014
ISSAC,AIRINGTON,M,2013-09-16,2016-01-07,Analyst,25.0,Marketing,15,15,4.0,2,42776,16,Monday,9,2013
LAURIE,ALWARD,F,2014-02-15,2016-01-07,Analyst,23.0,Management,22,8,5.0,0,47326,15,Saturday,2,2014
CORTNEY,ARCHACKI,F,2015-01-05,2016-01-07,Analyst,21.0,Finance,30,0,5.0,0,48098,5,Monday,1,2015
LEMUEL,ALBUS,M,2014-04-12,2016-01-07,Analyst,21.0,Management,26,4,4.0,0,49903,12,Saturday,4,2014
LUTHER,ACRE,M,2014-05-18,2016-01-07,Analyst,23.0,Management,29,1,4.0,0,41984,18,Sunday,5,2014
CORDELL,ALLENBACH,M,2014-05-22,2016-01-07,Analyst,25.0,Web,20,10,5.0,2,48447,22,Thursday,5,2014
HELENA,ANGELLO,F,2012-09-09,2016-01-07,Senior Analyst,26.0,Operations,21,9,4.0,1,50809,9,Sunday,9,2012
TOMMIE,ANTONA,F,2013-01-13,2016-01-07,Analyst,21.0,Finance,23,7,5.0,0,45181,13,Sunday,1,2013
THADDEUS,AHLEMEYER,M,2014-12-05,2016-01-07,Analyst,22.0,IT,22,8,2.0,0,44543,5,Friday,12,2014
SHELLEY,AMODEO,F,2013-09-06,2016-01-07,Analyst,24.0,Management,23,7,5.0,1,41380,6,Friday,9,2013
MOISES,AHLBERG,M,2014-08-27,2016-01-07,Senior Analyst,27.0,Web,27,3,3.0,3,53406,27,Wednesday,8,2014
DOMINICK,AFSHARI,M,2013-04-14,2016-01-07,Analyst,23.0,IT,20,10,5.0,0,41662,14,Sunday,4,2013
FLORENTINO,ALLABAND,M,2013-04-30,2016-01-07,Analyst,24.0,Management,24,6,3.0,0,41955,30,Tuesday,4,2013
JOHNIE,ALBARES,M,2014-02-28,2016-01-07,Analyst,23.0,Web,29,1,3.0,0,45323,28,Friday,2,2014
GREGG,ADER,M,2013-05-20,2016-01-07,Associate,28.0,IT,16,14,5.0,4,90201,20,Monday,5,2013
BORIS,ALBIN,M,2013-05-03,2016-01-07,Analyst,21.0,Web,21,9,3.0,0,40222,3,Friday,5,2013
LEIGH,ALLERTON,M,2013-03-01,2016-01-07,Analyst,23.0,Finance,22,8,3.0,0,43247,1,Friday,3,2013
FRANCISCA,ANDROLEWICZ,F,2013-10-19,2016-01-07,Senior Analyst,25.0,Operations,29,1,3.0,2,62673,19,Saturday,10,2013
RUSS,ALAVI,M,2012-05-24,2016-01-07,Senior Analyst,28.0,Web,18,12,3.0,2,69306,24,Thursday,5,2012
SANTA,ARMENGOL,F,2015-01-08,2016-01-07,Analyst,23.0,Finance,26,4,3.0,1,48462,8,Thursday,1,2015
MICHELE,ALVARADO,F,2014-11-09,2016-01-07,Senior Analyst,27.0,Marketing,23,7,4.0,4,54643,9,Sunday,11,2014
OLLIE,ANDRADES,F,2013-07-13,2016-01-07,Senior Analyst,28.0,Management,28,2,4.0,3,57182,13,Saturday,7,2013
ALEXANDRIA,ANTENUCCI,F,2014-10-10,2016-01-07,Analyst,21.0,Management,19,11,2.0,0,49395,10,Friday,10,2014
LUCY,AMADI,F,2014-11-27,2016-01-07,Senior Analyst,28.0,Management,26,4,3.0,2,60348,27,Thursday,11,2014
ALLEN,ABELN,M,2013-04-27,2016-01-07,Associate,32.0,Marketing,28,2,2.0,4,72626,27,Saturday,4,2013
LETITIA,ARBOLEDA,F,2014-07-05,2016-01-07,Analyst,25.0,IT,23,7,3.0,2,43751,5,Saturday,7,2014
LEONA,AMELA,F,2014-05-09,2016-01-07,Senior Analyst,28.0,Management,16,14,2.0,1,65607,9,Friday,5,2014
VERN,AID,M,2014-02-26,2016-01-07,Analyst,23.0,IT,19,11,3.0,0,40183,26,Wednesday,2,2014
RITA,ALTIDOR,F,2013-09-25,2016-01-07,Analyst,25.0,IT,18,12,4.0,2,47609,25,Wednesday,9,2013
JAKE,ADKISSON,M,2013-01-04,2016-01-07,Analyst,21.0,IT,27,3,4.0,0,45896,4,Friday,1,2013
BOBBI,ANLIKER,F,2013-10-19,2016-01-07,Analyst,24.0,Finance,22,8,5.0,1,40486,19,Saturday,10,2013
GAYLE,ALLES,M,2012-12-16,2016-01-07,Associate,28.0,Management,26,4,3.0,0,96535,16,Sunday,12,2012
DEXTER,AESCHBACHER,M,2014-09-20,2016-01-07,Analyst,22.0,Web,19,11,2.0,0,44762,20,Saturday,9,2014
CORRINE,ANTENOR,F,2013-03-14,2016-01-07,Analyst,21.0,Finance,17,13,3.0,0,48839,14,Thursday,3,2013
CLEO,ANGELO,F,2013-03-27,2016-01-07,Analyst,22.0,Web,23,7,5.0,0,43397,27,Wednesday,3,2013
SUNG,ALEXAKIS,M,2013-01-07,2016-01-07,Analyst,23.0,Management,28,2,2.0,0,49611,7,Monday,1,2013
BETTINA,ARMOUT,F,2013-10-19,2016-01-07,Senior Analyst,26.0,Web,22,8,5.0,3,67051,19,Saturday,10,2013
ROSEMARY,AMACHER,F,2014-01-07,2016-01-07,Associate,31.0,Operations,26,4,2.0,7,93516,7,Tuesday,1,2014
JIMMIE,ANIOL,F,2013-12-06,2016-01-07,Analyst,21.0,Web,25,5,2.0,0,44181,6,Friday,12,2013
ANDREA,ALTAMIRANO,F,2013-05-16,2016-01-07,Manager,33.0,Web,25,5,4.0,7,100471,16,Thursday,5,2013
DESSIE,ARCHIOPOLI,F,2012-03-30,2016-01-07,Senior Analyst,27.0,Management,16,14,4.0,0,69383,30,Friday,3,2012
SERENA,ANTINORE,F,2014-02-01,2016-01-07,Analyst,22.0,IT,16,14,3.0,0,43132,1,Saturday,2,2014
DIANNE,AMEJORADO,F,2014-07-03,2016-01-07,Analyst,25.0,Marketing,16,14,3.0,2,40403,3,Thursday,7,2014
GRADY,AEGERTER,M,2013-08-10,2016-01-07,Analyst,21.0,Finance,22,8,4.0,0,43239,10,Saturday,8,2013
WALDO,ALEXANIAN,M,2013-04-09,2016-01-07,Analyst,22.0,Web,21,9,3.0,0,42943,9,Tuesday,4,2013
LANA,ANDERHOLM,F,2014-02-15,2016-01-07,Analyst,23.0,Operations,30,0,2.0,0,41664,15,Saturday,2,2014
THAD,ALBERS,M,2014-09-06,2016-01-07,Senior Analyst,26.0,Marketing,23,7,2.0,0,63290,6,Saturday,9,2014
BYRON,ACKER,M,2013-11-30,2016-01-07,Analyst,24.0,Marketing,20,10,2.0,1,47598,30,Saturday,11,2013
DEBORA,ANGELA,F,2013-06-24,2016-01-07,Analyst,24.0,IT,16,14,2.0,0,45447,24,Monday,6,2013
SCOT,AILIFF,M,2013-09-16,2016-01-07,Analyst,23.0,Web,21,9,4.0,0,42213,16,Monday,9,2013
MAYNARD,AILEY,M,2014-04-22,2016-01-07,Analyst,21.0,IT,25,5,5.0,0,44397,22,Tuesday,4,2014
MINA,ARCIBA,F,2014-10-21,2016-01-07,Analyst,21.0,Finance,23,7,3.0,0,48801,21,Tuesday,10,2014
RANDELL,ALBARADO,M,2013-05-29,2016-01-07,Analyst,25.0,Marketing,24,6,2.0,1,47532,29,Wednesday,5,2013
PERRY,ACKLAND,M,2014-10-07,2016-01-07,Senior Manager,37.0,IT,19,11,4.0,12,184143,7,Tuesday,10,2014
CHANG,ALEFF,M,2012-03-09,2016-01-07,Manager,35.0,IT,20,10,4.0,8,124154,9,Friday,3,2012
HORACE,ADAMSKY,M,2014-05-31,2016-01-07,Analyst,25.0,IT,25,5,5.0,2,40786,31,Saturday,5,2014
JESSIE,ACEBEDO,M,2013-12-24,2016-01-07,Analyst,23.0,Operations,21,9,5.0,0,47080,24,Tuesday,12,2013
MADONNA,ARIZA,F,2013-07-03,2016-01-07,Analyst,25.0,Web,16,14,3.0,1,46572,3,Wednesday,7,2013
ERLINDA,ARKELL,F,2013-11-30,2016-01-07,Analyst,24.0,Management,29,1,5.0,1,42066,30,Saturday,11,2013
RUTHIE,ANSLOAN,F,2011-06-20,2016-01-07,Associate,32.0,Web,17,13,5.0,6,72598,20,Monday,6,2011
COLETTE,APILADO,F,2014-07-30,2016-01-07,Analyst,22.0,Web,25,5,2.0,0,46506,30,Wednesday,7,2014
HERMINIA,ARCANO,F,2013-10-29,2016-01-07,Analyst,24.0,Management,26,4,4.0,1,44733,29,Tuesday,10,2013
NATHAN,ABELE,M,2014-05-15,2016-01-07,Analyst,22.0,IT,15,15,3.0,0,46227,15,Thursday,5,2014
JENIFER,ANESI,F,2014-06-29,2016-01-07,Analyst,23.0,IT,17,13,4.0,0,46207,29,Sunday,6,2014
ELLIS,ADLER,M,2012-10-31,2016-01-07,Senior Analyst,28.0,Web,23,7,4.0,0,62243,31,Wednesday,10,2012
CHESTER,ABUBAKR,M,2013-11-07,2016-01-07,Analyst,23.0,Operations,15,15,4.0,0,48479,7,Thursday,11,2013
ELVIN,AHARON,M,2013-03-22,2016-01-07,Analyst,23.0,Finance,26,4,3.0,0,48364,22,Friday,3,2013
ELDA,ARCINO,F,2014-10-25,2016-01-07,Analyst,25.0,Operations,25,5,4.0,3,46564,25,Saturday,10,2014
HERIBERTO,AIMBEZ,M,2013-06-29,2016-01-07,Analyst,21.0,Operations,18,12,4.0,0,48001,29,Saturday,6,2013
WAYNE,ABDELAL,M,2015-01-01,2016-01-07,Senior Analyst,25.0,Operations,22,8,2.0,0,55001,1,Thursday,1,2015
MAUDE,ANESHANSLEY,F,2014-07-15,2016-01-07,Analyst,24.0,Management,18,12,5.0,2,49901,15,Tuesday,7,2014
REY,ALLOCCO,M,2013-11-19,2016-01-07,Senior Analyst,25.0,Marketing,19,11,5.0,2,65919,19,Tuesday,11,2013
MARTIN,ABDOU,M,2012-02-01,2016-01-07,Senior Analyst,25.0,IT,22,8,2.0,0,61353,1,Wednesday,2,2012
KEISHA,ANGIS,F,2014-09-12,2016-01-07,Analyst,25.0,Marketing,18,12,2.0,3,49321,12,Friday,9,2014
JEFFERY,ABEND,M,2014-11-24,2016-01-07,Associate,31.0,Web,25,5,4.0,6,93715,24,Monday,11,2014
ROMEO,AINSLEY,M,2014-11-20,2016-01-07,Analyst,23.0,IT,15,15,5.0,1,41052,20,Thursday,11,2014
JOSUE,AKRAM,M,2013-03-06,2016-01-07,Analyst,24.0,IT,29,1,3.0,0,46907,6,Wednesday,3,2013
ADA,AMEZAGA,F,2014-10-15,2016-01-07,Analyst,22.0,Web,25,5,3.0,0,45518,15,Wednesday,10,2014
FREDA,ANASTAS,F,2014-06-30,2016-01-07,Analyst,23.0,Web,25,5,5.0,0,43894,30,Monday,6,2014
MOSES,AFANADOR,M,2013-01-25,2016-01-07,Analyst,25.0,IT,19,11,3.0,1,48355,25,Friday,1,2013
DYLAN,AGRELA,M,2014-11-23,2016-01-07,Analyst,22.0,Management,15,15,3.0,0,47759,23,Sunday,11,2014
MYRNA,ANDREADIS,F,2013-01-16,2016-01-07,Analyst,25.0,Marketing,27,3,3.0,1,40105,16,Wednesday,1,2013
ELEANOR,ALVA,F,2012-09-27,2016-01-07,Senior Analyst,26.0,Operations,24,6,5.0,1,60014,27,Thursday,9,2012
PATRICIA,ALLYN,M,2013-07-28,2016-01-07,Analyst,21.0,Finance,21,9,2.0,0,44848,28,Sunday,7,2013
ROSARIO,ALEJOS,M,2013-05-18,2016-01-07,Analyst,22.0,Finance,19,11,4.0,0,45103,18,Saturday,5,2013
MAYRA,ANGLES,F,2013-06-19,2016-01-07,Associate,32.0,Finance,15,15,5.0,4,81191,19,Wednesday,6,2013
SUZANNE,ALVARA,F,2014-03-29,2016-01-07,Analyst,22.0,Marketing,15,15,5.0,0,45025,29,Saturday,3,2014
ARNULFO,ALBERO,M,2014-08-30,2016-01-07,Analyst,21.0,Finance,16,14,3.0,0,41943,30,Saturday,8,2014
BEULAH,AMONETTE,F,2012-10-09,2016-01-07,Senior Analyst,27.0,Management,28,2,2.0,0,50393,9,Tuesday,10,2012
LORAINE,ANTMAN,F,2013-09-03,2016-01-07,Analyst,22.0,Web,25,5,4.0,0,42003,3,Tuesday,9,2013
CHAD,ABERCOMBIE,M,2014-04-21,2016-01-07,Analyst,22.0,IT,24,6,2.0,0,42041,21,Monday,4,2014
BEVERLEY,ARCADIPANE,F,2013-01-12,2016-01-07,Analyst,25.0,IT,24,6,3.0,1,44015,12,Saturday,1,2013
CLIFFORD,ABLES,M,2011-05-07,2016-01-07,Manager,32.0,Marketing,29,1,2.0,4,140916,7,Saturday,5,2011
DEVON,AGUERO,M,2013-06-14,2016-01-07,Analyst,22.0,Web,22,8,5.0,0,46173,14,Friday,6,2013
SCOTT,ABAJA,M,2014-09-29,2016-01-07,Analyst,23.0,Web,22,8,5.0,1,41701,29,Monday,9,2014
MIKEL,ALFARO,M,2013-03-16,2016-01-07,Analyst,24.0,Marketing,20,10,4.0,0,47465,16,Saturday,3,2013
SHEENA,ANGSTADT,F,2014-07-03,2016-01-07,Analyst,24.0,Management,22,8,3.0,1,49670,3,Thursday,7,2014
ELSIE,ALY,F,2011-05-06,2016-01-07,Senior Manager,35.0,Operations,19,11,4.0,6,153111,6,Friday,5,2011
DARWIN,AGULIAR,M,2014-07-28,2016-01-07,Analyst,23.0,Finance,16,14,3.0,1,47408,28,Monday,7,2014
SYDNEY,ALBERT,M,2014-12-13,2016-01-07,Analyst,23.0,Management,17,13,2.0,1,47629,13,Saturday,12,2014
SOPHIA,ANAYA,F,2014-06-19,2016-01-07,Senior Analyst,28.0,Operations,26,4,5.0,5,68884,19,Thursday,6,2014
LYNDA,AMIRAULT,F,2013-11-01,2016-01-07,Analyst,24.0,Web,30,0,4.0,1,49849,1,Friday,11,2013
JOEY,ACQUAVIVA,M,2014-02-17,2016-01-07,Senior Analyst,25.0,IT,16,14,4.0,1,68785,17,Monday,2,2014
BRIDGETT,ARAGUNDI,F,2013-06-10,2016-01-07,Analyst,21.0,Finance,27,3,4.0,0,48102,10,Monday,6,2013
TYREE,ALEXOPOULOS,M,2013-07-23,2016-01-07,Analyst,23.0,Operations,29,1,5.0,0,44610,23,Tuesday,7,2013
MARTINA,ANKNEY,F,2013-04-08,2016-01-07,Analyst,25.0,Finance,21,9,5.0,1,46659,8,Monday,4,2013
CRISTOBAL,ALLBRIGHT,M,2013-09-28,2016-01-07,Analyst,21.0,IT,17,13,3.0,0,47781,28,Saturday,9,2013
SUE,ALWINE,F,2014-03-06,2016-01-07,Analyst,25.0,Operations,23,7,3.0,2,49942,6,Thursday,3,2014
ROSALIND,ANGOLO,F,2014-05-02,2016-01-07,Manager,35.0,Web,18,12,2.0,8,148606,2,Friday,5,2014
NOREEN,ANTONELLO,F,2013-02-08,2016-01-07,Manager,33.0,Web,21,9,2.0,5,110885,8,Friday,2,2013
KELLY,ACEVEDA,M,2014-08-24,2016-01-07,Analyst,22.0,Web,28,2,2.0,0,45019,24,Sunday,8,2014
BRITT,ALLENSWORTH,M,2013-06-24,2016-01-07,Analyst,22.0,Marketing,22,8,3.0,0,41378,24,Monday,6,2013
JEANETTE,ALWANG,F,2014-03-31,2016-01-07,Analyst,21.0,Management,25,5,2.0,0,42327,31,Monday,3,2014
SAUL,AFFELD,M,2015-01-23,2016-01-07,Senior Analyst,28.0,Management,23,7,5.0,3,68446,23,Friday,1,2015
LONNY,ALLEBACH,M,2014-03-24,2016-01-07,Analyst,23.0,IT,26,4,4.0,0,47764,24,Monday,3,2014
COLLIN,AKERLEY,M,2014-09-26,2016-01-07,Analyst,21.0,Finance,22,8,5.0,0,49905,26,Friday,9,2014
NUMBERS,AKIMSEU,M,2014-12-08,2016-01-07,Director,45.0,IT,15,15,2.0,23,253284,8,Monday,12,2014
TAMMIE,ANDREASEN,F,2013-01-04,2016-01-07,Analyst,22.0,Operations,29,1,3.0,0,49703,4,Friday,1,2013
CATHLEEN,ANHALT,F,2014-11-20,2016-01-07,Analyst,23.0,Operations,22,8,5.0,1,48049,20,Thursday,11,2014
FELICIA,AMELING,F,2014-03-25,2016-01-07,Analyst,25.0,Management,19,11,5.0,2,43428,25,Tuesday,3,2014
ALEJANDRO,ACOSTO,M,2015-01-28,2016-01-07,Senior Manager,35.0,Operations,24,6,5.0,11,185221,28,Wednesday,1,2015
GENEVA,AMERT,F,2014-08-10,2016-01-07,Analyst,23.0,Operations,29,1,4.0,1,48969,10,Sunday,8,2014
VITO,AKER,M,2015-01-21,2016-01-07,Analyst,23.0,Web,30,0,5.0,1,45740,21,Wednesday,1,2015
JULIANA,APELIAN,F,2013-09-10,2016-01-07,Analyst,23.0,Web,21,9,5.0,0,46601,10,Tuesday,9,2013
MITCHELL,ACAL,M,2014-10-25,2016-01-07,Analyst,23.0,Finance,25,5,4.0,1,45949,25,Saturday,10,2014
VALENTIN,ALBERGOTTI,M,2013-10-24,2016-01-07,Analyst,22.0,Finance,22,8,3.0,0,41861,24,Thursday,10,2013
ADAN,AKIMA,M,2012-04-14,2016-01-07,Senior Analyst,28.0,Marketing,26,4,2.0,0,56772,14,Saturday,4,2012
MADELINE,AMIRI,F,2015-01-22,2016-01-07,Analyst,25.0,Web,25,5,4.0,3,46052,22,Thursday,1,2015
ROSANNA,AQUIRRE,F,2014-08-26,2016-01-07,Analyst,22.0,Management,22,8,4.0,0,43483,26,Tuesday,8,2014
WALKER,ALEXNDER,M,2013-09-06,2016-01-07,Analyst,25.0,Web,16,14,2.0,2,43860,6,Friday,9,2013
MARQUITA,ARANEO,F,2013-12-07,2016-01-07,Senior Analyst,28.0,Web,24,6,3.0,3,61374,7,Saturday,12,2013
LUCINDA,ANDREU,F,2013-04-02,2016-01-07,Analyst,24.0,Operations,19,11,5.0,0,48095,2,Tuesday,4,2013
BLAINE,AGUALLO,M,2014-06-21,2016-01-07,Analyst,23.0,Management,23,7,5.0,0,49592,21,Saturday,6,2014
BENNETT,ALAMEDA,M,2014-01-29,2016-01-07,Analyst,24.0,Marketing,18,12,2.0,1,46942,29,Wednesday,1,2014
DELIA,ANDEBE,F,2015-01-25,2016-01-07,Analyst,24.0,Web,25,5,3.0,2,42333,25,Sunday,1,2015
JACLYN,ANGLEY,F,2009-12-10,2016-01-07,Director,45.0,Web,21,9,4.0,17,319141,10,Thursday,12,2009
LAUREL,ANDRUSZKIEWIC,F,2011-02-06,2016-01-07,Associate,29.0,IT,20,10,2.0,3,91596,6,Sunday,2,2011
SOCORRO,ANKERSEN,F,2014-08-18,2016-01-07,Analyst,21.0,Web,26,4,4.0,0,40586,18,Monday,8,2014
PETE,ADDIEGO,M,2013-03-07,2016-01-07,Analyst,24.0,Finance,18,12,3.0,0,49530,7,Thursday,3,2013
BETH,ALYEA,F,2014-08-06,2016-01-07,Analyst,24.0,Management,26,4,5.0,2,42583,6,Wednesday,8,2014
PHILLIS,ARJUNE,F,2011-11-06,2016-01-07,Associate,29.0,Management,29,1,3.0,4,92453,6,Sunday,11,2011
LASHONDA,ARCHBOLD,F,2014-12-05,2016-01-07,Associate,28.0,Management,24,6,3.0,5,93659,5,Friday,12,2014
